answer_llm,answer_orig,document,question,course
"It is recommended to use DictVectorizer or get_dummies after splitting the data to avoid data leakage. If you encode your features before splitting, you risk having information from the test set influence the training stage, which can lead to biased results. This practice ensures that the model is trained and validated on data that does not include any information from the test set, adhering to proper machine learning practices.","(Question by Connie S.)
The reason it's good/recommended practice to do it after splitting is to avoid data leakage - you don't want any data from the test set influencing the training stage (similarly from the validation stage in the initial training). See e.g. scikit-learn documentation on ""Common pitfalls and recommended practices"": https://scikit-learn.org/stable/common_pitfalls.html
Answered/added by Rileen Sinha",eb5a25cb,Why is it recommended to use DictVectorizer or get_dummies after splitting the data?,machine-learning-zoomcamp
"Using DictVectorizer or get_dummies before splitting the data into train/val/test can lead to issues related to data leakage. When you encode categorical features before the split, information from the test set can inadvertently influence the training process, which can compromise the validity of the model's performance evaluation. It is recommended to perform these encoding steps after splitting the data to ensure that the test set remains completely independent from the training stage.","(Question by Connie S.)
The reason it's good/recommended practice to do it after splitting is to avoid data leakage - you don't want any data from the test set influencing the training stage (similarly from the validation stage in the initial training). See e.g. scikit-learn documentation on ""Common pitfalls and recommended practices"": https://scikit-learn.org/stable/common_pitfalls.html
Answered/added by Rileen Sinha",eb5a25cb,What issues arise if we use DictVectorizer or get_dummies before splitting?,machine-learning-zoomcamp
"You can find more information about avoiding data leakage in machine learning in the section on Data Leakage within the ""Decision Trees and Ensemble Learning"" chapter. It specifically mentions that filling in missing values using an entire dataset before splitting for training/testing/validation causes data leakage.","(Question by Connie S.)
The reason it's good/recommended practice to do it after splitting is to avoid data leakage - you don't want any data from the test set influencing the training stage (similarly from the validation stage in the initial training). See e.g. scikit-learn documentation on ""Common pitfalls and recommended practices"": https://scikit-learn.org/stable/common_pitfalls.html
Answered/added by Rileen Sinha",eb5a25cb,Where can I find more information about avoiding data leakage in machine learning?,machine-learning-zoomcamp
"Using DictVectorizer or get_dummies incorrectly can lead to data leakage, specifically when these encoders are applied to the entire dataset before splitting into train, validation, and test sets. This practice can allow information from the test set to influence the training stage, resulting in inflated performance metrics and an inaccurate assessment of the model's ability to generalize to unseen data. Therefore, it's recommended to fit these encoders only on the training set and then transform the validation and test sets to avoid this issue.","(Question by Connie S.)
The reason it's good/recommended practice to do it after splitting is to avoid data leakage - you don't want any data from the test set influencing the training stage (similarly from the validation stage in the initial training). See e.g. scikit-learn documentation on ""Common pitfalls and recommended practices"": https://scikit-learn.org/stable/common_pitfalls.html
Answered/added by Rileen Sinha",eb5a25cb,How does using DictVectorizer or get_dummies incorrectly influence train and test sets?,machine-learning-zoomcamp
The answer regarding the recommended practice for using DictVectorizer or get_dummies was provided by Larkin Andrii.,"(Question by Connie S.)
The reason it's good/recommended practice to do it after splitting is to avoid data leakage - you don't want any data from the test set influencing the training stage (similarly from the validation stage in the initial training). See e.g. scikit-learn documentation on ""Common pitfalls and recommended practices"": https://scikit-learn.org/stable/common_pitfalls.html
Answered/added by Rileen Sinha",eb5a25cb,Who provided the answer regarding the recommended practice for using DictVectorizer or get_dummies?,machine-learning-zoomcamp
"An accuracy of 1.0 in HW3Q4 might indicate that you've overfitted the model. To address this issue, you could try dropping the column 'msrp/price', which may help reduce the overfitting and lead to a more appropriate accuracy.","If you are getting 1.0 as accuracy then there is a possibility you have overfitted the model. Dropping the column msrp/price can help you solve this issue.
Added by Akshar Goyal",6d9e0a6f,What might cause an accuracy of 1.0 in HW3Q4?,machine-learning-zoomcamp
"If you are getting an accuracy of 1.0 in HW3Q4, it is likely that you have overfitted your model. A suggested solution to address this issue is to drop the column msrp/price, which may help improve your model's generalization.","If you are getting 1.0 as accuracy then there is a possibility you have overfitted the model. Dropping the column msrp/price can help you solve this issue.
Added by Akshar Goyal",6d9e0a6f,How can I address overfitting if I get an accuracy of 1.0 in HW3Q4?,machine-learning-zoomcamp
"If you are getting 1.0 as accuracy, then there is a possibility you have overfitted the model. It is suggested that dropping the column msrp/price can help you solve this issue. Therefore, you should not select the nearest option when your accuracy is 1.0.","If you are getting 1.0 as accuracy then there is a possibility you have overfitted the model. Dropping the column msrp/price can help you solve this issue.
Added by Akshar Goyal",6d9e0a6f,Should I select the nearest option if my HW3Q4 accuracy is 1.0?,machine-learning-zoomcamp
"To improve your model accuracy in HW3Q4, if you are getting an accuracy of 1.0, it is likely that you have overfitted the model. A recommended adjustment is to drop the column ""msrp/price,"" which may help mitigate this issue.","If you are getting 1.0 as accuracy then there is a possibility you have overfitted the model. Dropping the column msrp/price can help you solve this issue.
Added by Akshar Goyal",6d9e0a6f,What adjustment can improve my model accuracy in HW3Q4?,machine-learning-zoomcamp
"To fix overfitting in HW3Q4, you should drop the column msrp/price.","If you are getting 1.0 as accuracy then there is a possibility you have overfitted the model. Dropping the column msrp/price can help you solve this issue.
Added by Akshar Goyal",6d9e0a6f,Which column should be dropped to fix overfitting in HW3Q4?,machine-learning-zoomcamp
"The recommended packages for calculating Root Mean Squared Error (RMSE) are `sklearn` and `numpy`. You can use the `mean_squared_error` function from `sklearn.metrics` in conjunction with `numpy` to calculate RMSE. Here are some relevant code snippets:

```python
from sklearn.metrics import mean_squared_error
import numpy as np

# Method 1: Calculating using numpy
mse = mean_squared_error(actual_values, predicted_values)
rmse = np.sqrt(mse)

# Method 2: Directly calculating RMSE with sklearn
rms = mean_squared_error(y_actual, y_predicted, squared=False)
```","We can use sklearn & numpy packages to calculate Root Mean Squared Error
from sklearn.metrics import mean_squared_error
import numpy as np
Rmse = np.sqrt(mean_squared_error(y_pred, y_val/ytest)
Added by Radikal Lukafiardi
You can also refer to Alexey’s notebook for Week 2:
https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb
which includes the following code:
def rmse(y, y_pred):
error = y_pred - y
mse = (error ** 2).mean()
return np.sqrt(mse)
(added by Rileen Sinha)",618ad97a,What packages are recommended for calculating Root Mean Squared Error?,machine-learning-zoomcamp
"Yes, there is a notebook reference available for further understanding of RMSE calculation. You can refer to Alexey’s notebook for Week 2, which includes relevant code and explanations. The link to the notebook is: [https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb](https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb).","We can use sklearn & numpy packages to calculate Root Mean Squared Error
from sklearn.metrics import mean_squared_error
import numpy as np
Rmse = np.sqrt(mean_squared_error(y_pred, y_val/ytest)
Added by Radikal Lukafiardi
You can also refer to Alexey’s notebook for Week 2:
https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb
which includes the following code:
def rmse(y, y_pred):
error = y_pred - y
mse = (error ** 2).mean()
return np.sqrt(mse)
(added by Rileen Sinha)",618ad97a,Is there a notebook reference available for further understanding of RMSE calculation?,machine-learning-zoomcamp
The alternative code snippet for calculating RMSE was contributed by Ahmed Okka.,"We can use sklearn & numpy packages to calculate Root Mean Squared Error
from sklearn.metrics import mean_squared_error
import numpy as np
Rmse = np.sqrt(mean_squared_error(y_pred, y_val/ytest)
Added by Radikal Lukafiardi
You can also refer to Alexey’s notebook for Week 2:
https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb
which includes the following code:
def rmse(y, y_pred):
error = y_pred - y
mse = (error ** 2).mean()
return np.sqrt(mse)
(added by Rileen Sinha)",618ad97a,Who contributed the alternative code snippet for calculating RMSE?,machine-learning-zoomcamp
"You can find a practical example of RMSE calculation in the notebook referenced by Radikal Lukafiardi, which includes code that defines a function to calculate RMSE. The link to this example is: https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb.","We can use sklearn & numpy packages to calculate Root Mean Squared Error
from sklearn.metrics import mean_squared_error
import numpy as np
Rmse = np.sqrt(mean_squared_error(y_pred, y_val/ytest)
Added by Radikal Lukafiardi
You can also refer to Alexey’s notebook for Week 2:
https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb
which includes the following code:
def rmse(y, y_pred):
error = y_pred - y
mse = (error ** 2).mean()
return np.sqrt(mse)
(added by Rileen Sinha)",618ad97a,Where can I find a practical example of RMSE calculation?,machine-learning-zoomcamp
"The command from sklearn to import the required function for RMSE calculation is:

```python
from sklearn.metrics import mean_squared_error
```","We can use sklearn & numpy packages to calculate Root Mean Squared Error
from sklearn.metrics import mean_squared_error
import numpy as np
Rmse = np.sqrt(mean_squared_error(y_pred, y_val/ytest)
Added by Radikal Lukafiardi
You can also refer to Alexey’s notebook for Week 2:
https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/02-carprice.ipynb
which includes the following code:
def rmse(y, y_pred):
error = y_pred - y
mse = (error ** 2).mean()
return np.sqrt(mse)
(added by Rileen Sinha)",618ad97a,What is the command from sklearn to import the required function for RMSE calculation?,machine-learning-zoomcamp
"Instead of using 'get_feature_names', you should use 'get_feature_names_out()' with 'DictVectorizer'. Additionally, if you need the output in a standard list format, you can convert it by using `list(dv.get_feature_names_out())`.","The solution is to use “get_feature_names_out” instead. See details: https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html
George Chizhmak",683495d2,What should I use instead of 'get_feature_names' for 'DictVectorizer'?,machine-learning-zoomcamp
"To resolve the AttributeError related to 'DictVectorizer', you should use the method “get_feature_names_out” instead of “get_feature_names”. You can find more details in the Scikit-learn documentation here: https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html.","The solution is to use “get_feature_names_out” instead. See details: https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html
George Chizhmak",683495d2,How do I resolve the AttributeError related to 'DictVectorizer'?,machine-learning-zoomcamp
"You can find details about the 'get_feature_names_out' method in the following sections of the context:

1. The DictVectorizer has a function called get_feature_names_out(), which is helpful for analyzing feature importance when using the dict vectorizer for one-hot encoding. It returns a numpy array, so you might need to convert it to a list using `list(dv.get_feature_names_out())`. Keep in mind that you need to fit the predictor and response arrays before accessing the feature names.

2. The method 'get_feature_names' has been deprecated, and it's recommended to use 'get_feature_names_out()' instead to avoid warnings.

For further details, you can also check the official scikit-learn documentation on the DictVectorizer, which contains information about the function at this link: https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html.","The solution is to use “get_feature_names_out” instead. See details: https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html
George Chizhmak",683495d2,Where can I find details about the 'get_feature_names_out' method?,machine-learning-zoomcamp
"The solution for the 'DictVectorizer' attribute error was provided by George Chizhmak, who suggested using “get_feature_names_out” instead of “get_feature_names”.","The solution is to use “get_feature_names_out” instead. See details: https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html
George Chizhmak",683495d2,Who provided the solution for the 'DictVectorizer' attribute error?,machine-learning-zoomcamp
"The 'DictVectorizer' error is discussed in section 3, titled ""Machine Learning for Classification.""","The solution is to use “get_feature_names_out” instead. See details: https://scikit-learn.org/stable/modules/generated/sklearn.feature_extraction.DictVectorizer.html
George Chizhmak",683495d2,In which section is the 'DictVectorizer' error discussed?,machine-learning-zoomcamp
"You can use RMSE without mathematical calculations or numpy by utilizing the `mean_squared_error` function from `sklearn.metrics`. Specifically, set the `squared` parameter to `False` to obtain the RMSE directly. Here’s how you can do it:

```python
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
```

This will return the Root Mean Squared Error without requiring manual calculations.","To use RMSE without math or numpy, ‘sklearn.metrics’ has a mean_squared_error function with a squared kwarg (defaults to True). Setting squared to False will return the RMSE.
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
See details: https://stackoverflow.com/questions/17197492/is-there-a-library-function-for-root-mean-square-error-rmse-in-python
Ahmed Okka",dc1897b5,How can I use RMSE without involving mathematical calculations or numpy?,machine-learning-zoomcamp
"The library in Python that provides a function for calculating RMSE easily is `sklearn.metrics`. This library has a `mean_squared_error` function, where setting the `squared` parameter to `False` will return the RMSE. 

Example usage:
```python
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
```","To use RMSE without math or numpy, ‘sklearn.metrics’ has a mean_squared_error function with a squared kwarg (defaults to True). Setting squared to False will return the RMSE.
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
See details: https://stackoverflow.com/questions/17197492/is-there-a-library-function-for-root-mean-square-error-rmse-in-python
Ahmed Okka",dc1897b5,Which library in Python provides a function for calculating RMSE easily?,machine-learning-zoomcamp
"The default behavior of the `mean_squared_error` function in `sklearn.metrics` is to compute the mean squared error and return a squared value. This is controlled by the `squared` parameter, which defaults to `True`. If you want to receive the Root Mean Squared Error (RMSE), you must set the `squared` parameter to `False`.","To use RMSE without math or numpy, ‘sklearn.metrics’ has a mean_squared_error function with a squared kwarg (defaults to True). Setting squared to False will return the RMSE.
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
See details: https://stackoverflow.com/questions/17197492/is-there-a-library-function-for-root-mean-square-error-rmse-in-python
Ahmed Okka",dc1897b5,What is the default behavior of the mean_squared_error function in sklearn.metrics?,machine-learning-zoomcamp
"To modify the `mean_squared_error` function to return RMSE instead of MSE, you can set the `squared` parameter to `False`. Here’s how you can do it:

```python
from sklearn.metrics import mean_squared_error

# Assuming y_actual and y_predicted are your actual and predicted values
rmse = mean_squared_error(y_actual, y_predicted, squared=False)
```

This will give you the Root Mean Squared Error (RMSE) directly.","To use RMSE without math or numpy, ‘sklearn.metrics’ has a mean_squared_error function with a squared kwarg (defaults to True). Setting squared to False will return the RMSE.
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
See details: https://stackoverflow.com/questions/17197492/is-there-a-library-function-for-root-mean-square-error-rmse-in-python
Ahmed Okka",dc1897b5,How do I modify the mean_squared_error function to return RMSE instead of MSE?,machine-learning-zoomcamp
"You can find more details about using the mean_squared_error function for RMSE in Python in the following context: 

To use RMSE without math or numpy, you can utilize the ‘sklearn.metrics’ library's mean_squared_error function. By default, the squared argument is set to True, so to obtain the RMSE, set squared to False. Here is how you can do it:

```python
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
```

For additional information, you can refer to this link: [Stack Overflow](https://stackoverflow.com/questions/17197492/is-there-a-library-function-for-root-mean-square-error-rmse-in-python).","To use RMSE without math or numpy, ‘sklearn.metrics’ has a mean_squared_error function with a squared kwarg (defaults to True). Setting squared to False will return the RMSE.
from sklearn.metrics import mean_squared_error
rms = mean_squared_error(y_actual, y_predicted, squared=False)
See details: https://stackoverflow.com/questions/17197492/is-there-a-library-function-for-root-mean-square-error-rmse-in-python
Ahmed Okka",dc1897b5,Where can I find more details about using the mean_squared_error function for RMSE in Python?,machine-learning-zoomcamp
The article that explains different encoding techniques used in Machine Learning for Classification is available at this link: https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02.,"This article explains different encoding techniques used https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02
Hrithik Kumar Advani",826098f2,What article explains different encoding techniques used in Machine Learning for Classification?,machine-learning-zoomcamp
You can find a detailed explanation of categorical variable encoding in the article linked here: https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02.,"This article explains different encoding techniques used https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02
Hrithik Kumar Advani",826098f2,Where can I find a detailed explanation of categorical variable encoding?,machine-learning-zoomcamp
The article about encoding techniques in this course section was authored by Hrithik Kumar Advani.,"This article explains different encoding techniques used https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02
Hrithik Kumar Advani",826098f2,Who authored the article about encoding techniques in this course section?,machine-learning-zoomcamp
The section that contains information about encoding techniques is section 3: Machine Learning for Classification.,"This article explains different encoding techniques used https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02
Hrithik Kumar Advani",826098f2,Which section contains information about encoding techniques?,machine-learning-zoomcamp
You can find an article on categorical variable encoding at the following link: [All About Categorical Variable Encoding](https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02).,"This article explains different encoding techniques used https://towardsdatascience.com/all-about-categorical-variable-encoding-305f3361fd02
Hrithik Kumar Advani",826098f2,Could you provide a link to an article on categorical variable encoding?,machine-learning-zoomcamp
"The correct way to use `accuracy_score` in sklearn for classification evaluation is as follows:

1. Import the necessary module:
   ```python
   from sklearn import metrics
   ```

2. Calculate accuracy using the `accuracy_score` function:
   ```python
   accuracy = metrics.accuracy_score(y_val, y_pred)
   ```

In cases where your predictions (`y_pred`) are probabilities (e.g., from a logistic regression model), you should first convert these probabilities to binary predictions by applying a threshold (e.g., `>= 0.5`), like this:
```python
accuracy = metrics.accuracy_score(y_train, y_pred >= 0.5)
```

Remember to ensure that `y_true` and `y_pred` have the same shape and that `y_pred` contains binary values when calculating accuracy.","I got this error multiple times here is the code:
“accuracy_score(y_val, y_pred >= 0.5)”
TypeError: 'numpy.float64' object is not callable
I solve it using
from sklearn import metrics
metrics.accuracy_score(y_train, y_pred>= 0.5)
OMAR Wael",821dfc08,What is the correct way to use accuracy_score in sklearn for classification evaluation?,machine-learning-zoomcamp
"To fix the TypeError when using accuracy_score in sklearn, you should ensure that you are importing the accuracy_score function correctly and using it as intended. Specifically, the error can occur if you mistakenly try to call a numpy.float64 object as if it were a function. 

Here’s how you can correct it:

Instead of using:
```python
accuracy_score(y_val, y_pred >= 0.5)
```
You should use:
```python
from sklearn import metrics
metrics.accuracy_score(y_train, y_pred >= 0.5)
```

This ensures that you are using the accuracy_score function from the sklearn.metrics module properly.","I got this error multiple times here is the code:
“accuracy_score(y_val, y_pred >= 0.5)”
TypeError: 'numpy.float64' object is not callable
I solve it using
from sklearn import metrics
metrics.accuracy_score(y_train, y_pred>= 0.5)
OMAR Wael",821dfc08,How can I fix the TypeError when using accuracy_score in sklearn?,machine-learning-zoomcamp
"To use `accuracy_score` correctly, you should import it from the `sklearn.metrics` module. The correct import statement is:

```python
from sklearn.metrics import accuracy_score
```","I got this error multiple times here is the code:
“accuracy_score(y_val, y_pred >= 0.5)”
TypeError: 'numpy.float64' object is not callable
I solve it using
from sklearn import metrics
metrics.accuracy_score(y_train, y_pred>= 0.5)
OMAR Wael",821dfc08,Which sklearn module should I import to use accuracy_score correctly?,machine-learning-zoomcamp
"A common mistake that might cause a TypeError with the `accuracy_score` in Jupyter is using the following code incorrectly: 

```python
accuracy_score(y_val, y_pred >= 0.5)
```

This line can lead to a TypeError: `'numpy.float64' object is not callable` because it is not properly referencing the `accuracy_score` function. The solution is to ensure you are importing `accuracy_score` from the `metrics` module in sklearn:

```python
from sklearn import metrics
metrics.accuracy_score(y_train, y_pred >= 0.5)
```","I got this error multiple times here is the code:
“accuracy_score(y_val, y_pred >= 0.5)”
TypeError: 'numpy.float64' object is not callable
I solve it using
from sklearn import metrics
metrics.accuracy_score(y_train, y_pred>= 0.5)
OMAR Wael",821dfc08,What common mistake might cause a TypeError with accuracy_score in jupyter?,machine-learning-zoomcamp
"Certainly! Here’s an example of correctly using `accuracy_score` from scikit-learn:

```python
from sklearn.metrics import accuracy_score

# Assuming y_val is your true labels and y_pred are your predicted labels
accuracy = accuracy_score(y_val, y_pred)
print(f'Accuracy: {accuracy}')
```

If you are using a prediction threshold (for example, in a binary classification scenario), you should apply the threshold directly to `y_pred` as follows:

```python
from sklearn import metrics

# Example where predictions are probabilities and you want to set a threshold of 0.5
accuracy = metrics.accuracy_score(y_val, y_pred >= 0.5)
print(f'Accuracy: {accuracy}')
``` 

Make sure that `y_pred` contains the appropriate format (e.g., probabilities or class labels) based on your evaluation needs.","I got this error multiple times here is the code:
“accuracy_score(y_val, y_pred >= 0.5)”
TypeError: 'numpy.float64' object is not callable
I solve it using
from sklearn import metrics
metrics.accuracy_score(y_train, y_pred>= 0.5)
OMAR Wael",821dfc08,Can you provide a code example for correctly using accuracy_score in sklearn?,machine-learning-zoomcamp
You can find the Week 4 homework at the following link: [Week 4 HW](https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/04-evaluation/homework.md).,"Week 4 HW: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/04-evaluation/homework.md
All HWs: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/
Evaluation Matrix: https://docs.google.com/spreadsheets/d/e/2PACX-1vQCwqAtkjl07MTW-SxWUK9GUvMQ3Pv_fF8UadcuIYLgHa0PlNu9BRWtfLgivI8xSCncQs82HDwGXSm3/pubhtml
GitHub for theory: https://github.com/alexeygrigorev/mlbookcamp-code/tree/master/course-zoomcamp
YouTube Link: 4.X --- https://www.youtube.com/watch?v=gmg5jw1bM8A&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR&index=40
Sci-Kit Learn on Evaluation:
https://scikit-learn.org/stable/model_selection.html
~~Nukta Bhatia~~",27c8d5da,Where can I find the Week 4 homework?,machine-learning-zoomcamp
"You can access all the course's homework assignments by going to the course page at http://mlzoomcamp.com/. Additionally, make sure to read everything in the cohort folder for your cohort’s year, as it may contain relevant information and links to the assignments.","Week 4 HW: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/04-evaluation/homework.md
All HWs: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/
Evaluation Matrix: https://docs.google.com/spreadsheets/d/e/2PACX-1vQCwqAtkjl07MTW-SxWUK9GUvMQ3Pv_fF8UadcuIYLgHa0PlNu9BRWtfLgivI8xSCncQs82HDwGXSm3/pubhtml
GitHub for theory: https://github.com/alexeygrigorev/mlbookcamp-code/tree/master/course-zoomcamp
YouTube Link: 4.X --- https://www.youtube.com/watch?v=gmg5jw1bM8A&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR&index=40
Sci-Kit Learn on Evaluation:
https://scikit-learn.org/stable/model_selection.html
~~Nukta Bhatia~~",27c8d5da,Where can I access all the course's homework assignments?,machine-learning-zoomcamp
The Evaluation Matrix link is: https://docs.google.com/spreadsheets/d/e/2PACX-1vQCwqAtkjl07MTW-SxWUK9GUvMQ3Pv_fF8UadcuIYLgHa0PlNu9BRWtfLgivI8xSCncQs82HDwGXSm3/pubhtml,"Week 4 HW: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/04-evaluation/homework.md
All HWs: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/
Evaluation Matrix: https://docs.google.com/spreadsheets/d/e/2PACX-1vQCwqAtkjl07MTW-SxWUK9GUvMQ3Pv_fF8UadcuIYLgHa0PlNu9BRWtfLgivI8xSCncQs82HDwGXSm3/pubhtml
GitHub for theory: https://github.com/alexeygrigorev/mlbookcamp-code/tree/master/course-zoomcamp
YouTube Link: 4.X --- https://www.youtube.com/watch?v=gmg5jw1bM8A&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR&index=40
Sci-Kit Learn on Evaluation:
https://scikit-learn.org/stable/model_selection.html
~~Nukta Bhatia~~",27c8d5da,Can you provide the Evaluation Matrix link?,machine-learning-zoomcamp
"The GitHub repository for the course theory is not explicitly mentioned in the provided context. However, you can create your own GitHub repository for your notes, homework, and projects and fork the original course repository to add a link under the 'Community Notes' section. For the exact location of the course's original GitHub repository, please refer to the course materials or ask the course instructor.","Week 4 HW: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/04-evaluation/homework.md
All HWs: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/
Evaluation Matrix: https://docs.google.com/spreadsheets/d/e/2PACX-1vQCwqAtkjl07MTW-SxWUK9GUvMQ3Pv_fF8UadcuIYLgHa0PlNu9BRWtfLgivI8xSCncQs82HDwGXSm3/pubhtml
GitHub for theory: https://github.com/alexeygrigorev/mlbookcamp-code/tree/master/course-zoomcamp
YouTube Link: 4.X --- https://www.youtube.com/watch?v=gmg5jw1bM8A&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR&index=40
Sci-Kit Learn on Evaluation:
https://scikit-learn.org/stable/model_selection.html
~~Nukta Bhatia~~",27c8d5da,Where can I find the GitHub repository for the course theory?,machine-learning-zoomcamp
"Based on the provided context, there is no mention of a YouTube video covering Evaluation Metrics for Classification. The context includes information about how to obtain classification metrics and how to create a classification report using libraries like scikit-learn and Yellowbrick, but it does not mention any video resources.","Week 4 HW: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/04-evaluation/homework.md
All HWs: https://github.com/DataTalksClub/machine-learning-zoomcamp/blob/master/cohorts/2023/
Evaluation Matrix: https://docs.google.com/spreadsheets/d/e/2PACX-1vQCwqAtkjl07MTW-SxWUK9GUvMQ3Pv_fF8UadcuIYLgHa0PlNu9BRWtfLgivI8xSCncQs82HDwGXSm3/pubhtml
GitHub for theory: https://github.com/alexeygrigorev/mlbookcamp-code/tree/master/course-zoomcamp
YouTube Link: 4.X --- https://www.youtube.com/watch?v=gmg5jw1bM8A&list=PL3MmuxUbc_hIhxl5Ji8t4O6lPAOpHaCLR&index=40
Sci-Kit Learn on Evaluation:
https://scikit-learn.org/stable/model_selection.html
~~Nukta Bhatia~~",27c8d5da,Do you have a YouTube video covering Evaluation Metrics for Classification?,machine-learning-zoomcamp
You can find information on using a variable to score in classification at this link: https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696475675887119. Metrics can be applied on a series or a dataframe.,"https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696475675887119
Metrics can be used on a series or a dataframe
~~Ella Sahnan~~",a52d4739,Where can I find information on using a variable to score in classification?,machine-learning-zoomcamp
"Yes, evaluation metrics are applicable to both a series and a dataframe.","https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696475675887119
Metrics can be used on a series or a dataframe
~~Ella Sahnan~~",a52d4739,Are evaluation metrics applicable to both a series and a dataframe?,machine-learning-zoomcamp
The platform that provides detailed instructions on scoring with variables is the following link: [DataTalks Club Slack](https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696475675887119).,"https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696475675887119
Metrics can be used on a series or a dataframe
~~Ella Sahnan~~",a52d4739,Which platform provides detailed instructions on scoring with variables?,machine-learning-zoomcamp
"Yes, metrics can be applied to dataframes according to the course.","https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696475675887119
Metrics can be used on a series or a dataframe
~~Ella Sahnan~~",a52d4739,Can metrics be applied to dataframes according to the course?,machine-learning-zoomcamp
The information about using metrics on a series or dataframe in section 4 was contributed by Ella Sahnan.,"https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696475675887119
Metrics can be used on a series or a dataframe
~~Ella Sahnan~~",a52d4739,Who contributed the information about using metrics on a series or dataframe in section 4?,machine-learning-zoomcamp
"Some classification tasks require setting the random_state parameter to ensure the ""randomness"" used to shuffle the dataset is reproducible. This is particularly relevant when using methods like train-test splits or cross-validation, where the random seed affects the way data is divided into training and validation sets. Without setting random_state, each run of the code may yield different results due to the random nature of the dataset splitting. Therefore, specifying random_state, along with the shuffle parameter, helps achieve consistent results across multiple runs.","Ie particularly in module-04 homework Qn2 vs Qn5. https://datatalks-club.slack.com/archives/C0288NJ5XSA/p1696760905214979
Refer to the sklearn docs, random_state is to ensure the “randomness” that is used to shuffle dataset is reproducible, and it usually requires both random_state and shuffle params to be set accordingly.
~~Ella Sahnan~~",dc55359c,Why do some classification tasks require setting the random_state parameter?,machine-learning-zoomcamp
